no,tango,kana,en,zh,vi
0044,笑顔,えがお,Smile,笑容、笑脸,khuôn mặt tười cười
0045,エチケット,,"Etiquette, good manners",礼仪、礼节,quy tắc ứng xử
0046,援助,えんじょ,"Help, assist",援助、帮助,hỗ trợ
0047,沿線,えんせん,"Along the railway, line-side",沿线,dọc tuyến đường
0048,応対,おうたい,"Reception, response",应对、接待,"ứng tiếp, trả lời"
0049,応募,おうぼ,Apply,报名参加,ứng tuyển
0050,応用,おうよう,Apply,应用、利用,"ứng dụng, áp dụng"
0051,オープン,,Open,开业,mở
0052,お気に入り,おきにいり,Favorite,中意、喜欢,"ưa thích, ưa chuộng"
0053,おしゃれ,,Fashionable,（好）打扮,"ăn diện, trưng diện"
0054,お使い,おつかい,Errand,跑一趟、出去一趟,việc vặt
0055,同い年,おないどし,Same age,同年、同岁,"cùng tuổi, bằng tuổi"
0056,鬼,おに,"Demon, devil",鬼怪、魔鬼,quỷ
0057,お参り,おまいり,Visit,参拜,thăm
0058,お守り,おまもり,Amulet,护身符,lá bùa
0059,オリジナル,,Original,原创、独创,"gốc, chính hãng"
0060,恩,おん,"Favor, kindness",恩情、恩惠,ân nghĩa
0061,おんぶ,,Piggyback (ride),背,cõng
0062,可,か,"Permitted, possible",可、可以,"có thể, chấp nhận, được phép"
0063,ガード,,"Guard, protect",抵御、守卫,bảo vệ
0064,害,がい,Harm,危害、损害,hại
0065,会見,かいけん,Conference,会见、会晤,"hội kiến, gặp mặt"
0066,外見,がいけん,Appearance,外表、外观,vẻ bề ngoài
0067,会合,かいごう,Meeting,聚会、集会,họp họp bàn
0068,開催,かいさい,"Hold, arrange",举办、召开,tổ chức
0069,解散,かいさん,"Break up, dissolve",解散,"giải tán, tan rã"
0070,解釈,かいしゃく,Interpret,解释、说明,"giải thích, giải nghĩa"
0071,回収,かいしゅう,Recover,回收、收回,"thu hồi, thu lại"
0072,解除,かいじょ,Cancel,解除、废除,"miễn trừ, chấm dứt, bãi bỏ"
0073,解消,かいしょう,"Solve, eliminate",解除、消除,"xóa bỏ, chấm dứt, giải quyết"
0074,回数,かいすう,Times,次数,"số lượt, số lần"
0075,改善,かいぜん,Improve,改善、改进,cải thiện
0076,回答,かいとう,"Answer, respond",回答、回复,trả lời
0077,解凍,かいとう,Thaw,解冻、化开,rã đông
0078,開発,かいはつ,Develop,开发、研制,phát triển
0079,回復,かいふく,Recover,恢复、康复,"hồi phục, bình phục"
0080,解放,かいほう,Release,解放、解脱,"giải phóng, thoát khỏi"
0081,開放,かいほう,Open,打开、开放,"mở cửa, phóng thích"
0082,外来,がいらい,Foreign,外来、舶来,ngoại lai
0083,回覧,かいらん,Circulate,传阅,"chuyền xem, xem"
0084,核家族,かくかぞく,Nuclear family,小家庭,gia đình hạt nhân
0085,覚悟,かくご,Readiness,决心、思想准备,"chuẩn bị sẵn sàng, chấp nhận"
0086,各自,かくじ,"Each one, each individual",各自、每个人,"mỗi người, mình"
0087,各種,かくしゅ,Various,各种各样,các loại
0088,各地,かくち,Everywhere,各地、到处,"các nơi, các địa phương, các vùng"
0089,拡張,かくちょう,Broaden,扩展、扩张,mở rộng
0090,角度,かくど,Angle,角度,"góc độ, các góc độ"
0091,確認,かくにん,"Check, confirm",确认、证实,"xác nhận, kiểm tra"
0092,確率,かくりつ,"Probability, chance",概率、几率,xác suất
0093,陰,かげ,"Shadow, space behind something",背后,bóng
0094,家計簿,かけいぼ,Household accounts,家庭收支账簿,sổ chi tiêu gia đình
0095,可決,かけつ,Approve,通过,"phê chuẩn, thông qua, tán thành"
0096,果実,かじつ,Fruit,果实、果子,quả
0097,果汁,かじゅう,Fruit juice,果汁,nước trái cây
0098,箇所,かしょ,"Point, item, place",地方、部分,"chỗ, điểm, nơi"
0099,数々,かずかず,"Numerous, many",很多,nhiều
0100,加速,かそく,Accelerate,加快速度,"thúc đẩy, tăng tốc"
0101,塊,かたまり,"Lump, ball",团、块,"cục, miếng, tảng"
0102,活気,かっき,Lively,活力、生机,"náo nhiệt, sôi động,"
0103,活躍,かつやく,Active,活跃,"thành công, hoạt động tích cực"
0104,活用,かつよう,Use,有效利用,"Sử dụng hiệu quả, tận dụng"
0105,仮定,かてい,Assume,假设、假定,giả định
0106,過程,かてい,Process,过程,quá trình
0107,加入,かにゅう,"Subscribe, take out (policy)",加入、参加,gia nhập
0108,鐘,かね,Bell,钟,chuông
0109,加熱,かねつ,Heat up,加热,đun nóng
0110,過半数,かはんすう,Majority,半数以上,"đa số, quá bán"
0111,紙くず,かみくず,Wastepaper,纸屑,giấy thải
0112,殻,から,Shell,外壳,vỏ
0113,柄,がら,Pattern,花纹、花样,hoa văn
0114,火力,かりょく,Thermal power,火力,"nhiệt điện, hỏa lực"
0115,カルシウム,,Calcium,钙,can xi
0116,カロリー,,Calories,卡路里、热量,calo
0117,管,かん,(Gas or water) pipe,（煤气·自来水）管道,"đường ống (ga, nước)"
0118,感覚,かんかく,Sense,感觉、知觉,"cảm giác, cảm nhận"
0119,換気,かんき,"Ventilate, air",换气、通风,"thông gió, lưu thông không khí"
0120,感激,かんげき,Emotion,感激、感动,"xúc động, cảm động"
0121,鑑賞,かんしょう,Appreciate,欣赏、鉴赏,thưởng thức
0122,勘定,かんじょう,"Count up, bill",计算、付账,"thanh toán, tính tiền"
0123,観測,かんそく,"Observe, detect",观测、观察,"quan sát, đo đạc"
0124,勘違い,かんちがい,(Make a) mistake,误会、误认为,"hiểu nhầm, tưởng nhầm"
0125,完了,かんりょう,Completion,完毕、完了,hoàn thành
0126,器械,きかい,"Instrument, device",器械、机器,dụng cụ
0127,機関,きかん,Organization,机构、组织,cơ quan
0128,貴金属,ききんぞく,"Precious metal, jewelry",贵金属,trang sức quý
0129,機嫌,きげん,Mood,心情,tâm trạng
0130,記号,きごう,Symbol,符号、记号,ký hiệu
0131,既婚,きこん,Married,已婚,đã kết hôn
0132,生地,きじ,"Cloth, fabric",质地、面料,vải
0133,基準,きじゅん,Standard,标准、基准,tiêu chuẩn
0134,起床,きしょう,Get up,起床,dậy
0135,奇数,きすう,Odd number,奇数、单数,số lẻ
0136,基礎,きそ,"Foundation, basics",基础、根基,"cơ sở, căn bản, nền tảng"
0137,議題,ぎだい,Agenda,议题,"chủ đề thảo luận, vấn đề bàn luận"
0138,きっかけ,,Trigger,契机、机会,"nguyên cớ, cơ hội"
0139,機能,きのう,Function,功能、性能,chức năng
0140,規模,きぼ,Scale,规模、范围,quy mô
0141,決まり,きまり,Rule,规定、规矩,quy định
0142,キャンペーン,,Campaign,活动、运动,chiến dịch
0143,休暇,きゅうか,"Vacation, holiday",休假、假期,nghỉ
0144,吸収,きゅうしゅう,Absorb,吸、吸收,"hấp thụ, thấm"
0145,急性,きゅうせい,Acute,急性,cấp tính
0146,急増,きゅうぞう,Surge,急剧增加,tăng lên nhanh chóng
0147,強化,きょうか,"Reinforce, strengthen",加强、强化,tăng cường
0148,境界,きょうかい,Boundary,境界、边界,ranh giới
0149,競技,きょうぎ,Competition,比赛项目、比赛,môn thi đấu
0150,行儀,ぎょうぎ,"Behavior, manners",举止、礼貌,hành vi cư xử
0151,供給,きょうきゅう,Supply,供给、供应,cung cấp
0152,強調,きょうちょう,Emphasize,强调,nhấn mạnh
0153,共同,きょうどう,"Jointly, cooperatively",共同、联合,chung
0154,恐怖,きょうふ,"Fear, be afraid",恐怖、恐惧,sợ hãi
0155,教養,きょうよう,"Culture, sophistication",教养、修养,giáo dục
0156,規律,きりつ,"Discipline, rules",规律、规定,kỉ luật
0157,緊急,きんきゅう,Emergency,紧急,khẩn cấp
0158,偶数,ぐうすう,Even number,偶数、双数,số chẵn
0159,空想,くうそう,Fantasy,幻想、空想,giả tưởng
0160,くじ,,Lottery,彩票、抽签,xổ số
0161,くず,,"Scrap, crumbs",碎屑,vụn
0162,癖,くせ,Habit,习惯、癖好,thói quen
0163,管,くだ,Tube,管子、管道,ống
0164,苦痛,くつう,"Pain, ordeal",痛苦,khổ cực
0165,区分,くぶん,"Classify, divide",区分、划分,phân chia
0166,暮らし,くらし,"Living, daily life",生活、度日,cuộc sống
0167,グレー,,Gray,灰色,màu ghi
0168,訓練,くんれん,Training,训练,huấn luyện
0169,計,けい,Total,合计、共计,"đo, tính"
0170,敬意,けいい,Respect,敬意,"tôn trọng, kính trọng"
0171,警戒,けいかい,Vigilance,警戒、防范,cảnh giác
0172,傾向,けいこう,Trend,倾向、趋势,xu hướng
0173,警告,けいこく,Warning,警告,cảnh báo
0174,形式,けいしき,Format,形式、格式,hình thức
0175,継続,けいぞく,Continue,继续、接续,"tiếp tục, gia hạn"
0176,警備,けいび,Security,警备、警戒,"an ninh, bảo vệ"
0177,契約,けいやく,"Agreement, contract",契约、合同,hợp đồng
0178,ケース,,Case,事例、盒子,"vụ, trường hợp, vỏ đỉa"
0179,消印,けしいん,Postmark,邮戳,dấu bưu điện
0180,下水,げすい,Sewage,污水,nước thải
0181,決意,けつい,"Determination, resolution",决心、决意,quyết tâm
0182,欠陥,けっかん,"Defect, flaw, fault",缺陷,"khuyết điểm, bị lỗi"
0183,決勝,けっしょう,Finals,决赛,trận chung kết
0184,気配,けはい,"Indication, air",动静、迹象,cảm giác
0185,限界,げんかい,Limit,界限、极限,giới hạn
0186,原子,げんし,Atom,原子,nguyên tử
0187,現実,げんじつ,Reality,现实、真实,sự thực
0188,研修,けんしゅう,Training,进修、专研,"thực tập, đào tạo"
0189,現象,げんしょう,Phenomenon,现象,hiện tượng
0190,減少,げんしょう,Decrease,减少,giảm
0191,現状,げんじょう,Current status,现状,"tình trạng, hiện trạng"
0192,原子力,げんしりょく,Nuclear power,原子能,năng lượng nguyên tử
0193,限定,げんてい,"Limit, restrict to",限定,giới hạn
0194,限度,げんど,Limit,界限、限度,"giới hạn , mức độ giới hạn"
0195,検討,けんとう,"Consider, discuss",探讨、研究,"xem xét, thảo luận"
0196,見当,けんとう,"Guess, conjecture",猜测、推测,"đoán, ước tính"
0197,現場,げんば,"Site, scene",现场,hiện trường
0198,恋,こい,Love,恋爱、爱情,tình yêu
0199,後悔,こうかい,Regret,后悔、懊悔,hồi hận
0200,公開,こうかい,"Make public, open",公开、开放,"trưng bày công khai, công khai"
0201,好奇心,こうきしん,Curiosity,好奇心,"tò mò, hiếu kỳ"
0202,光景,こうけい,View,景象,quang cảnh
0203,攻撃,こうげき,Attack,攻击,tấn công
0204,貢献,こうけん,Contribute,贡献,"cống hiến, dóng góp"
0205,孝行,こうこう,Filial loyalty,孝敬、孝顺,hiếu thảo
0206,公式,こうしき,Official,公式、正式,chính thức
0207,後者,こうしゃ,The latter,后者,chỉ người / vật sau (trong hai ngườ / vật)
0208,交渉,こうしょう,Negotiate,交涉、谈判,đàm phán
0209,向上,こうじょう,Improve,提高、进步,nâng cao
0210,行進,こうしん,March,行进,diễu hành
0211,構成,こうせい,Structure,构成、结构,cấu thành
0212,光線,こうせん,"Ray, beam",光线,"nắng, ánh nắng mặt trời"
0213,構造,こうぞう,"Construction, structure",结构、构造,"cấu trúc, cấu tạo"
0214,交代,こうたい,(In) rotation,轮流、交替,"luân phiên, lần lượt, thay nhau"
0215,肯定,こうてい,Affirm,肯定、承认,khẳng định
0216,合同,ごうどう,"Jointly, in partnership",联合,"kết hợp, chung, cùng"
0217,公表,こうひょう,Announce,公布、发表,công bố
0218,興奮,こうふん,Excitement,兴奋、激动,"hưng phấn, phấn khích"
0219,候補,こうほ,Candidate,候补、候选,ứng viên
0220,項目,こうもく,Item,项目、条款,"hạng mục, mục, khoản"
0221,考慮,こうりょ,Consider,考虑、衡量,"xem xét, cân nhắc"
0222,効力,こうりょく,"Efficacy, effect",效力,hiệu lực
0223,故郷,こきょう,Home area,故乡、家乡,quê hương
0224,国宝,こくほう,National treasure,国宝,báu vật quốc gia
0225,穀物,こくもつ,"Cereals, grain",谷物、粮食,ngũ cốc
0226,子育て,こそだて,Raising a child,抚养孩子,nuôi dưỡng
0227,国旗,こっき,National flag,国旗,quốc kỳ
0228,固定,こてい,"Fixation, fixing",固定,cố định
0229,コマーシャル,,Commercial,广告,quảng cáo
0230,混合,こんごう,"Compound, mixture",混合,trộn lẫn
0231,献立,こんだて,Menu,食谱,thực đơn
0232,コンディション,,Condition,状况、情况,"tình trạng, hiện trạng"
0233,コンテスト,,Contest,比赛、竞赛,cuộc thi
0234,コントロール,,Control,控制、调节,kiểm soát
0235,コンプレックス,,Complex,情结、自卑感,"mặc cảm, cảm giác thấp kém"
0236,婚約,こんやく,Engagement,婚约、订婚,đính hôn
0237,混乱,こんらん,Confusion,混乱,hỗn loạn
0238,差,さ,"Difference, gap",差距、差别,sự chênh lệch
0239,再開,さいかい,Restart,重新开始,bắt đầu lại
0240,材質,ざいしつ,Material,质地、材质,chất liệu
0241,最終,さいしゅう,"Final, last",最终、最后,cuối cùng
0242,再生,さいせい,"Reuse, play",重新利用、播放,"tái sinh, bật"
0243,催促,さいそく,Remind,催促、催讨,"hối thúc, giục giã"
0244,材木,ざいもく,Timber,木材,gỗ
0245,境,さかい,Border,边界、界线,ranh giới
0246,作成/作製,さくせい,"Prepare, make",制作、制造,"làm, chuẩn bị, soạn thảo"
0247,雑音,ざつおん,Noise,杂音,"tạp âm, tiếng ồn"
0248,雑談,ざつだん,Chat,闲谈、闲聊,"tán gẫu, nói chuyện riêng"
0249,酸性,さんせい,Acidic,酸性,tính axit
0250,サンプル,,Sample,样品、样本,mẫu
0251,シーン,,Scene (movie),镜头、场面,cảnh tượng
0252,市営,しえい,Municipal,市营,thành phố quản lý
0253,式,しき,"Ceremony, formula",仪式、公式,"lễ, biểu thức"
0254,支給,しきゅう,Pay,支付,"thanh toán, cấp"
0255,刺激,しげき,"Stimulate, irritate",刺激,kích thích mạnh
0256,思考,しこう,"Thought, thinking",思考、考虑,"suy nghĩ, tư duy"
0257,地獄,じごく,Hell,地狱,địa ngục
0258,持参,じさん,Bring,自带,"mang theo, cầm theo"
0259,支持,しじ,Support,支持、拥护,"duy trì, ủng hộ"
0260,四捨五入,ししゃごにゅう,Round (up or down),四舍五入,làm tròn
0261,試食,ししょく,"Taste, try",试吃,"nếm thử, ăn thử"
0262,自炊,じすい,Self-cater,自己做饭,tự nấu
0263,システム,,System,系统、体系,hệ thống
0264,思想,しそう,"Thought, thinking",思想,tư tưởng
0265,次第,しだい,Ceremony arrangements,顺序,trình tự
0266,下町,したまち,"Low-lying, traditional quarter of a town",平民区,khu phố buôn bán sản xuất sầm uất
0267,質,しつ,Quality,质量,"chất, chất lượng"
0268,実感,じっかん,"Appreciate, really feel",真实感受,cảm nhận thực sự
0269,実現,じつげん,Realize,实现,thực hiện
0270,実行,じっこう,Put into practice,实行、施行,"tiến hành, thực hành"
0271,実施,じっし,Implement,实施、施行,"thực hiện, thực thi"
0272,実績,じっせき,Performance,实际成绩、业绩,thành tích
0273,実物,じつぶつ,Actual article,实物,"đồ thật, hiện vật"
0274,失望,しつぼう,Disappointment,失望,thất vọng
0275,実例,じつれい,"Example, case",实例、案例,ví dụ thực tế
0276,失恋,しつれん,Heartbreak,失恋,thất tình
0277,指定,してい,"Designate, set",指定,"chỉ định, xác định"
0278,自転,じてん,Rotation,自转,tự quay
0279,自動,じどう,"Automatic, self-",自动,tự động
0280,品,しな,"Goods, thing",物品,"món đồ, mặt hàng, hàng hóa"
0281,支配,しはい,Rule over,统治、支配,"cai trị, chi phối"
0282,シフト,,Shift,转变、轮班表,"kíp, ca"
0283,志望,しぼう,"Aspiration, wish",志愿、意向,"mong muốn, nguyện vọng"
0284,脂肪,しぼう,Fat,脂肪,Mỡ
0285,しま,,Stripe,条纹,kẻ sọc
0286,自慢,じまん,Boast,夸耀、得意,"tự hào, tự mãn"
0287,しみ,,Stain,污点、污渍,vết bẩn
0288,地元,じもと,Local,当地、本地,"địa phương, bản địa"
0289,弱点,じゃくてん,Weak point,弱点,"nhược điểm, điểm yếu"
0290,ジャンプ,,Jump,跳跃、跳起,nhảy lên
0291,重視,じゅうし,Emphasis,重视、注重,"coi trọng, chú trọng"
0292,充実,じゅうじつ,Be amply provided with,充实、齐全,"đầy đủ, sung túc, bổ sung chỗ thiếu"
0293,修正,しゅうせい,"Revise, correct",修正、改正,"chỉnh sửa, đính chính, sửa đổi"
0294,修繕,しゅうぜん,Repair(s),修缮、修理,tu sửa
0295,集団,しゅうだん,Group,集体、集团,"tập thể, nhóm, bầy đàn"
0296,じゅうたん,,Carpet,地毯,thảm
0297,重点,じゅうてん,"Priority, emphasis",重点,"trọng điểm, chú trọng"
0298,周辺,しゅうへん,Surroundings,周围、周边,xung quanh
0299,重量,じゅうりょう,Weight,重量,trọng lượng
0300,宿泊,しゅくはく,Lodging,住宿、投宿,nghỉ trọ
0301,取材,しゅざい,Interview,采访、取材,thu thập tài liệu
0302,受賞,じゅしょう,Award,获奖,nhận giải thưởng
0303,主食,しゅしょく,Staple food,主食,lương thực chính
0304,手段,しゅだん,"Means, method",手段、办法、方式,"cách, phương tiện, phương thức"
0305,主張,しゅちょう,"Claim, insist",主张,"chủ trương, khăng khăng, khẳng định"
0306,出演,しゅつえん,Appear,出演、演出,"xuất hiện, diễn xuất"
0307,出世,しゅっせ,Career progress,发迹、成功,"thành đạt, thăng tiến"
0308,順位,じゅんい,Rank,名次、顺序,"vị trí, thứ hạng"
0309,循環,じゅんかん,"Circulate, go round",循环,chạy một vòng
0310,賞,しょう,"Award, prize",奖、奖项,giải thưởng
0311,上,じょう,First class,上等,"về, liên quan"
0312,障害,しょうがい,"Obstacle, disability",障碍、毛病,"chướng ngại, khuyết tật"
0313,蒸気,じょうき,Steam,水蒸气,hơi nước
0314,状況,じょうきょう,Situation,状况、情况,"tình trạng, tình hình"
0315,証拠,しょうこ,Evidence,证据、证明,chứng cớ
0316,賞状,しょうじょう,Certificate of merit,奖状,bằng khen
0317,上昇,じょうしょう,Rise,上升,tăng thêm
0318,少数,しょうすう,"Few, minority",少数,"một vài, số ít"
0319,上達,じょうたつ,"Progress, improve",长进、进步,"tiến bộ, tiến triển"
0320,焦点,しょうてん,Focus,焦点,"tiêu điểm, tâm điểm"
0321,承認,しょうにん,Approve,批准、承认,"thừa nhận, phê duyệt, chấp thuận"
0322,情熱,じょうねつ,"Passion, enthusiasm",热情、激情,nhiệt tình
0323,勝敗,しょうはい,(Decide) winner or loser,胜败、胜负,thắng bại
0324,賞品,しょうひん,"Prize, award",奖品,giải thưởng
0325,勝負,しょうぶ,(Decide) winner or loser,一分胜负,Phân thắng bại
0326,正味,しょうみ,Net,净重,trọng lượng tịnh
0327,証明,しょうめい,Proof,证明,chứng minh
0328,勝利,しょうり,Victory,胜利,"chiến thắng, thắng lợi"
0329,上陸,じょうりく,"Make landfall, land, reach the port",登陆,đổ bộ
0330,省略,しょうりゃく,"Skip, miss out",省略,"lược bỏ, bỏ qua"
0331,食塩,しょくえん,Salt,食盐,muối ăn
0332,食卓,しょくたく,"Table, spread",饭桌、餐桌,Bàn ăn
0333,食物,しょくもつ,"Food, diet",食物、食品,"đồ ăn, thực phẩm"
0334,食糧,しょくりょう,"Food, provisions",粮食,lương thực
0335,所属,しょぞく,Belong to,归属,thuộc
0336,初対面,しょたいめん,First meeting,初次见面,"đầu tiên gặp mặt, lần đầu gặp mặt"
0337,初歩,しょほ,"Elementary, basic",初级、入门,"sơ cấp, thời kỳ đầu"
0338,所有,しょゆう,Own,所有,sở hữu
0339,処理,しょり,"Process, deal with",处理、办理,xử lý
0340,シリーズ,,Series,系列,"seri, phần"
0341,汁,しる,"Juice, soup",汁、汤,"nước cốt, nước luộc"
0342,しわ,,"Wrinkle, crease",褶皱,nếp nhăn
0343,芯,しん,Core,内心、芯,"trái tim, tấm lòng, ruột"
0344,進化,しんか,Evolve,进化、演化,"phát triển, tiến hóa"
0345,真空,しんくう,Vacuum,真空,chân không
0346,信仰,しんこう,"Faith, belief",信仰、信奉,"niềm tin, tín ngưỡng"
0347,進行,しんこう,"Proceed, take place",进行,tiến độ
0348,人工,じんこう,Artificial,人工、人造,nhân tạo
0349,真実,しんじつ,"Truth, facts",真实、真相,"sự thực, chân tướng"
0350,真珠,しんじゅ,Pearl,珍珠,ngọc trai
0351,人種,じんしゅ,"Race, ethnicity",人种、种族,chủng người
0352,進出,しんしゅつ,"Advance, enter",进入、进军,"mở rộng đầu tư, lấn sang"
0353,申請,しんせい,Apply,申请,"xin, đăng ký, làm"
0354,シンボル,,Symbol,象征,biểu tượng
0355,信頼,しんらい,"Trust, rely on",信赖,tin tưởng
0356,進路,しんろ,Course,前进方向、走向,"tiến trình, lộ trình, đường đi"
0357,神話,しんわ,"Mythology, myth",神话,truyện thần thoại
0358,炊事,すいじ,Cooking,烹饪、做饭,nấu cơm
0359,水準,すいじゅん,Level,水平、水准,"tiêu chuẩn, cấp độ"
0360,推薦,すいせん,Recommend,推荐,tiến cử
0361,水素,すいそ,Hydrogen,氢,hydro
0362,推測,すいそく,Guess,推测、猜想,suy đoán
0363,姿,すがた,"Appearance, air, figure of",身影、……的样子,"bóng dáng, dáng điệu"
0364,好き嫌い,すききらい,Likes and dislikes,好恶、挑剔,"thích và không thích, kén chọn, khảnh"
0365,ステップ,,Step,迈步、步骤,bước
0366,頭脳,ずのう,Brain,头脑,bộ não
0367,図表,ずひょう,Chart,图表,biểu đồ
0368,スリップ,,"Slip, skid",滑、打滑,trượt
0369,ずれ,,"Deviation, difference",分歧、偏差,"sự khác biệt,"
0370,正義,せいぎ,Justice,正义,chính nghĩa
0371,製作/制作,せいさく,"Produce, make",制作、制造,"chế tác, chế tạo"
0372,青春,せいしゅん,Youth,青春,tuổi thanh xuân
0373,清掃,せいそう,Clean,清扫、打扫,lau dọn
0374,性能,せいのう,Perform,性能、机能,tính năng
0375,整備,せいび,"Maintain, service",维护、保养,bảo dưỡng
0376,成分,せいぶん,"Component, ingredient",成分,thành phần
0377,成立,せいりつ,Be established,成立、成功,thành lập
0378,世代,せだい,Generation,一代人,giới
0379,接近,せっきん,Approach,接近,"tiếp cận, tiến gần"
0380,設計,せっけい,Design,设计,thiết kế
0381,接続,せつぞく,Connect,连接,kết nối
0382,設定,せってい,"Configure, set",设定,"đặt, thiết lập"
0383,セット,,Set,一套、调整,"sét, bộ, đặt"
0384,世論,せろん/よろん,Public opinion,舆论,"dư luận, ý kiến công chúng"
0385,前者,ぜんしゃ,Former,前者,đầu (thứ nhất)
0386,センス,,"Sense, taste",眼光,"năng khiếu, cảm nhận tốt về, gu về"
0387,選択,せんたく,Choose,选择,chọn
0388,全般,ぜんぱん,"General, comprehensive",整体、总体,"toàn bộ, tổng thể"
0389,前方,ぜんぽう,Ahead,前方、前面,phía trước
0390,専用,せんよう,"Special, dedicated",专用,chuyên dụng
0391,像,ぞう,"Statue, effigy",雕像、景象,tượng
0392,騒音,そうおん,Noise (pollution),噪音、噪声,"tiếng ồn, tiếng động"
0393,増減,ぞうげん,Increase and decrease,增减,tăng giảm
0394,相互,そうご,Mutual,互相,lẫn nhau
0395,総合,そうごう,"Comprehensive, overall",综合,tổng hợp
0396,操作,そうさ,Operate,操作、操控,thao tác
0397,相続,そうぞく,Inheritance,继承,thừa kế
0398,増大,ぞうだい,Increase,增大、增多,gia tăng
0399,装置,そうち,"Apparatus, device",装置,trang thiết bị
0400,測定,そくてい,Measure,测定、测量,"cân đo, đo"
0401,速報,そくほう,News bulletin,快报,bản tin nhanh
0402,測量,そくりょう,Survey,测量,đo đạc
0403,組織,そしき,Organize,组织,thành lập
0404,存在,そんざい,"Existence, life",存在,tồn tại
0405,尊重,そんちょう,Respect,尊重,tôn trọng
0406,他,た,Other,其他、另外,khác
0407,田/田んぼ,た/たんぼ,Rice field,稻田,"đồng, đồng ruộng"
0408,大,だい,"Big, -size",大、大小,"to, lớn"
0409,体験,たいけん,Experience,体验,trải nghiệm
0410,太鼓,たいこ,Drum,鼓,trống
0411,滞在,たいざい,Stay,逗留、停留,lưu lại
0412,対策,たいさく,"Countermeasure, measure",对策,"biện pháp, đối sách"
0413,対象,たいしょう,"Object, subject",对象,đối tượng
0414,大小,だいしょう,Size,大小,to nhỏ
0415,体制,たいせい,System,体制,thể chế
0416,対談,たいだん,Dialogue,对谈、面谈,"đối thoại, nói chuyện"
0417,大半,たいはん,Most,大半、大部分,"đa số, phần lớn"
0418,代理,だいり,"Proxy, on behalf of",代理,"đại diện, thay mặt cho"
0419,対立,たいりつ,Opposition,对立、冲突,đối lập
0420,大量,たいりょう,"Much, many",大量、大批,lượng lớn
0421,田植え,たうえ,Rice-planting,插秧,cấy lúa
0422,宝,たから,Treasure,宝物,"báu vật, kho báu"
0423,宅配,たくはい,Delivery,送货上门,giao hàng
0424,丈,たけ,Length,长度,chiều dài
0425,多数,たすう,Many,多数、很多,nhiều
0426,多数決,たすうけつ,Majority vote,多数表决,biểu quyết đa số
